dropdown,topconcept
ACTIVITY_RECOMMENDATION_TYPE.E55,Activity Type
ACTIVITY_TYPE.E55,
ACTOR_TYPE.E55,Actor Type
ACTOR_TYPE_CERTAINTY_TYPE.E55,Actor Type Certainty Type
ADDRESS_TYPE.E55,Address Type
ADMINISTRATIVE_DIVISION_TYPE.E55,Administrative Division Type
ADMINISTRATIVE_DIVISION_TYPE_AUTHORITY_DOCUMENT.E32,
ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,
ASSESSMENT_ACTIVITY_TYPE.E55,Assessment Type
BEGINNING_OF_EXISTENCE_TYPE.E55,Beginning Of Existence Type
COMPONENT_ORIENTATION.E55,Component Orientation
COMPONENT_TYPE.E55,Component Type
CONDITION_ASSESSMENT_IMAGE_RIGHT_TYPE.E55,
CONDITION_ASSESSMENT_REMARKS_TYPE.E55,Condition Remarks
CONSTRUCTION_MATERIAL.E57,Construction Material
CONSTRUCTION_TECHNIQUE_TYPE.E55,Construction Technique
COUNTRY_TYPE.E55,
COUNTRY_TYPE_AUTHORITY_DOCUMENT.E32,
CULTURAL_PERIOD.E55,Cultural Period
CULTURAL_PERIOD_CERTAINTY.I6,Cultural Period Certainty Type
CULTURAL_PERIOD_DETAIL_TYPE.E55,Cultural Period Detail
CULTURAL_PERIOD_TYPE.I4,Cultural Period
DAMAGE_EFFECT_OBSERVATION_ASSESSOR.E39,
DAMAGE_EXTENT_TYPE.E55,Disturbance Extent Type
DAMAGE_SEVERITY_TYPE.E55,
DAMAGE_TREND_TYPE.E55,
DESCRIPTION_TYPE.E55,Description Type
DESIGNATION_TYPE.E55,Type Of Designation Or Protection
DIMENSION_TYPE.E55,Measurement Type
DISTURBANCE_CAUSE_ASSIGNMENT_ASSESSOR.E39,
DISTURBANCE_CAUSE_CATEGORY_TYPE.E55,Disturbance Type
DISTURBANCE_CAUSE_CERTAINTY.I6,Disturbance Cause Certainty Type
DISTURBANCE_CAUSE_TYPE.I4,Disturbance Cause Type
EFFECT_CERTAINTY.I6,Disturbance Effect Certainty Type
EFFECT_TYPE.I4,Disturbance Effect Type
EFFECT_TYPE.S9,Disturbance Effect Type
END_OF_EXISTENCE_TYPE.E55,End Of Existence Type
EXTERNAL_XREF_TYPE.E55,
FEATURE_ARRANGEMENT_TYPE.E55,Feature Evidence Arrangement Type
FEATURE_FORM_TYPE.I4,Feature Evidence Type
FEATURE_FORM_TYPE_CERTAINTY.I6,Feature Evidence Type Certainty Type
FEATURE_MORPHOLOGY_TYPE.E55,Site Morphology Type
FEATURE_NUMBER_TYPE.E55,Feature Evidence Number Type
FEATURE_SHAPE_TYPE.E55,Feature Evidence Shape Type
FIND_CATEGORY_TYPE.E55,
FIND_DETAILED_CATEGORY_TYPE.E55,
FIND_SUB_CATEGORY_TYPE.E55,
FORM_ARRANGEMENT.E55,
FORM_CERTAINTY_BELIEF_VALUE.I6,
FORM_NUMBER.E55,
FORM_SHAPE_TYPE.E55,
FORM_TYPE_PROPOSITION_SET.I4,
FUNCTION_CERTAINTY.I6,Site Function Certainty Type
FUNCTION_TYPE.I4,Site Function Type
GENERAL_DESCRIPTION_TYPE.E55,Description Type
GEOMETRY_EXTENT_CERTAINTY.I6,Site Size Certainty Type
GEOMETRY_QUALIFIER.E55,Geometry Qualifier
