Source,Target,Type,Id,Label,timeset,Weight
4,37,Directed,1,P1,,1
6,13,Directed,2,P87,,1
6,79,Directed,79,P87,,1
8,15,Directed,4,P4,,1
8,77,Directed,75,P2,,1
10,4,Directed,6,BM.PX.is_related_to,,1
10,6,Directed,7,P53,,1
10,8,Directed,8,-P92,,1
10,18,Directed,10,P3,,1
10,26,Directed,13,-P93,,1
10,57,Directed,15,P10,,1
10,71,Directed,71,P2,,1
10,81,Directed,81,P1,,1
13,73,Directed,73,P2,,1
15,38,Directed,28,P78,,1
18,66,Directed,65,P2,,1
20,31,Directed,69,P2,,1
26,29,Directed,37,P4,,1
26,75,Directed,77,P2,,1
27,41,Directed,38,-P71,,1
29,21,Directed,39,P78,,1
31,2,Directed,40,-P71,,1
37,27,Directed,45,P2,,1
57,58,Directed,57,-P41,,1
58,59,Directed,58,-P41,,1
58,61,Directed,59,P4,,1
58,64,Directed,60,P42,,1
59,60,Directed,61,-P71,,1
61,62,Directed,62,P78,,1
61,63,Directed,63,P78,,1
64,65,Directed,64,-P71,,1
66,67,Directed,66,-P71,,1
71,72,Directed,72,-P71,,1
73,74,Directed,74,-P71,,1
75,76,Directed,78,-P71,,1
77,78,Directed,76,-P71,,1
79,80,Directed,80,P3,,1
81,3,Directed,83,P131,,1
81,20,Directed,82,P131,,1
6,89,Directed,84,P87,,1
89,90,Directed,85,-P71,,1
10,84,Directed,86,P1,,1
10,85,Directed,87,P1,,1
85,86,Directed,88,P78,,1
58,87,Directed,89,P2,,1
87,88,Directed,90,-P71,,1
10,82,Directed,91,P2,,1
82,83,Directed,92,-P71,,1
