Id,Label,mergenode,businesstable
4,EXTERNAL_RESOURCE.E1,ACTOR.E39,
37,EXTERNAL_XREF.E42,EXTERNAL_RESOURCE.E1,strings
6,PLACE.E53,ACTOR.E39,
13,PLACE_ADDRESS.E45,PLACE.E53,strings
79,PLACE_SITE_LOCATION.E53,PLACE.E53,
8,BEGINNING_OF_EXISTENCE.E63,ACTOR.E39,
15,BEGINNING_OF_EXISTENCE_TIME-SPAN.E52,BEGINNING_OF_EXISTENCE.E63,
77,BEGINNING_OF_EXISTENCE_TYPE.E55,BEGINNING_OF_EXISTENCE.E63,domains
10,ACTOR.E39,ACTOR.E39,
18,DESCRIPTION.E62,ACTOR.E39,strings
26,END_OF_EXISTENCE.E64,ACTOR.E39,
57,ARCHES_EVENT_PHASE.E4,ACTOR.E39,
71,KEYWORD.E55,ACTOR.E39,domains
81,APPELLATION.E41,ACTOR.E39,
73,ADDRESS_TYPE.E55,PLACE.E53,domains
38,START_DATE_OF_EXISTENCE.E49,BEGINNING_OF_EXISTENCE_TIME-SPAN.E52,dates
66,DESCRIPTION_TYPE.E55,DESCRIPTION.E62,domains
20,ACTOR_APPELLATION.E82,APPELATION.E41,strings
31,NAME_TYPE.E55,ACTOR_APPELLATION.E82,domains
29,END_OF_EXISTENCE_TIME-SPAN.E52,END_OF_EXISTENCE.E64,
75,END_OF_EXISTENCE_TYPE.E55,END_OF_EXISTENCE.E64,domains
27,EXTERNAL_XREF_TYPE.E55,EXTERNAL_XREF.E42,domains
41,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.E32,EXTERNAL_XREF_TYPE.E55,
21,END_DATE_OF_EXISTENCE.E49,END_OF_EXISTENCE_TIME-SPAN.E52,dates
2,NAME_TYPE_AUTHORITY_DOCUMENT.E32,NAME_TYPE.E55,
58,PHASE_TYPE_ASSIGNMENT.E17,ARCHES_EVENT_PHASE.E4,
59,CULTURAL_PERIOD.E55,PHASE_TYPE_ASSIGNMENT.E17,domains
61,TIME-SPAN_PHASE.E52,PHASE_TYPE_ASSIGNMENT.E17,
64,ACTOR_TYPE.E55,PHASE_TYPE_ASSIGNMENT.E17,domains
60,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.E32,CULTURAL_PERIOD.E55,
62,FROM_DATE.E49,TIME-SPAN_PHASE.E52,dates
63,TO_DATE.E49,TIME-SPAN_PHASE.E52,dates
65,ACTOR_TYPE_AUTHORITY_DOCUMENT.E32,PHASE_TYPE_ASSIGNMENT.E17,
67,DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.E32,DESCRIPTION_TYPE.E55,
72,KEYWORD_AUTHORITY_DOCUMENT.E32,KEYWORD.E55,
74,ADDRESS_TYPE_AUTHORITY_DOCUMENT.E32,ADDRESS_TYPE.E55,strings
76,END_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.E32,END_OF_EXISTENCE_TYPE.E55,
78,BEGINNING_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.E32,BEGINNING_OF_EXISTENCE_TYPE.E55,
80,DESCRIPTION_OF_LOCATION.E62,PLACE_SITE_LOCATION.E53,strings
3,EPITHET.E82,APPELATION.E41,strings
82,ORGANISATION_TYPE.E55,ACTOR.E39,domains
83,ORGANISATION_TYPE_AYTHORITY_DOCUMENT.E32,ORGANISATION_TYPE.E55,
84,EAMENA_ID.E42,ACTOR.E39,uniqueids
85,URL.E51,ACTOR.E39,strings
86,URL_ACCESS_DATE.E50,URL.E51,dates
87,ACTOR_TYPE_CERTAINTY_TYPE.E55,PHASE_TYPE_ASSIGNMENT.E17,domains
88,ACTOR_TYPE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.E32,ACTOR_TYPE_CERTAINTY_TYPE.E55,
89,MODERN_COUNTRY_TERRITORY.E55,PLACE.E53,domains
90,MODERN_COUNTRY_TERRITORY_AUTHORITY_DOCUMENT.E32,MODERN_COUNTRY_TERRITORY.E55,
