Source,Target,Type,Id,Label,Weight
103,1,Directed,1,-P39,
1,2,Directed,2,P40,
2,3,Directed,3,P91,
3,4,Directed,4,-P71,
2,5,Directed,5,P90,
2,6,Directed,6,P2,
6,7,Directed,7,-P71,
1,8,Directed,8,P2,
8,9,Directed,9,-P71,
103,10,Directed,10,-P41,
10,11,Directed,11,P42,
11,12,Directed,12,-P71,
10,13,Directed,13,P2,
13,14,Directed,14,-P71,
103,15,Directed,15,P53,
15,16,Directed,16,P87,
16,17,Directed,17,P2,
17,18,Directed,18,-P71,
103,19,Directed,19,-P31,
19,20,Directed,20,P2,
20,21,Directed,21,-P71,
19,22,Directed,22,P4,
22,23,Directed,23,P78,
19,24,Directed,24,P3,
19,25,Directed,25,P126,
25,26,Directed,26,-P71,
19,27,Directed,27,P32,
27,28,Directed,28,-P71,
27,29,Directed,29,P3,
103,30,Directed,30,-P8,
30,31,Directed,31,P4,
31,32,Directed,32,P78,
30,33,Directed,33,P2,
33,34,Directed,34,-P71,
30,35,Directed,35,P14,
35,36,Directed,36,P14,
35,37,Directed,37,P2,
37,38,Directed,38,-P71,
103,39,Directed,39,-P34,
39,40,Directed,40,-P140,
40,41,Directed,41,P3,
40,42,Directed,42,P141,
42,43,Directed,43,-P71,
39,52,Directed,44,P35,
52,44,Directed,45,-P17,
44,45,Directed,46,P129,
45,46,Directed,47,-P71,
44,47,Directed,48,P2,
47,48,Directed,49,-P71,
44,49,Directed,50,-P140,
49,50,Directed,51,P141,
50,51,Directed,52,-P71,
52,53,Directed,53,P2,
53,54,Directed,54,-P71,
52,55,Directed,55,-P39,
55,56,Directed,56,P2,
56,57,Directed,57,-P71,
52,58,Directed,58,P2,
58,59,Directed,59,-P71,
52,60,Directed,60,O14,
60,61,Directed,61,P2,
61,62,Directed,62,-P71,
60,63,Directed,63,-P140,
63,64,Directed,64,P141,
64,65,Directed,65,J5,
65,66,Directed,66,-P71,
64,67,Directed,67,J4,
67,68,Directed,68,-P71,
63,69,Directed,69,P14,
69,70,Directed,70,P1,
63,71,Directed,71,P4,
71,72,Directed,72,P81,
71,73,Directed,73,P81a,
71,74,Directed,74,P82a,
71,75,Directed,75,P82b,
52,76,Directed,76,-P141,
76,77,Directed,77,O9,
77,78,Directed,78,-P71,
39,79,Directed,79,-P138,
79,80,Directed,80,P3,
79,81,Directed,81,P1,
85,82,Directed,82,P104,
79,85,Directed,83,-P94,
82,83,Directed,84,P2,
83,84,Directed,85,-P71,
85,86,Directed,86,P4,
86,87,Directed,87,P78,
85,88,Directed,88,P14,
88,89,Directed,89,P1,
39,90,Directed,90,-P141,
90,91,Directed,91,P14,
91,92,Directed,92,P1,
90,93,Directed,93,J2,
93,94,Directed,94,J4,
94,95,Directed,95,-P71,
93,96,Directed,96,J4,
96,97,Directed,97,-P71,
93,98,Directed,98,J4,
98,99,Directed,99,-P71,
103,100,Directed,100,P48,
100,101,Directed,101,P2,
101,102,Directed,102,-P70,
79,104,Directed,103,P3,
