Source,Target,Type,Id,Label,timeset,Weight
0,1,Directed,0,P48,,1
0,2,Directed,1,-P8,,1
2,3,Directed,2,P4,,1
3,4,Directed,3,P78,,1
2,5,Directed,4,P2,,1
5,6,Directed,6,-P71,,1
2,7,Directed,7,P14,,1
7,8,Directed,8,P1,,1
7,9,Directed,9,P2,,1
9,10,Directed,10,-P71,,1
0,13,Directed,11,P53,,1
13,14,Directed,12,P87,,1
14,15,Directed,13,P2,,1
15,16,Directed,14,-P71,,1
13,17,Directed,15,-P140,,1
17,18,Directed,16,P3,,1
13,19,Directed,17,P2,,1
19,20,Directed,18,-P71,,1
0,21,Directed,19,-P39,,1
21,22,Directed,20,P42,,1
21,23,Directed,21,P40,,1
23,24,Directed,22,P91,,1
24,25,Directed,23,-P71,,1
23,26,Directed,24,P90,,1
23,27,Directed,25,P2,,1
27,28,Directed,26,-P71,,1
21,29,Directed,27,P2,,1
29,30,Directed,28,-P71,,1
0,43,Directed,29,-P92,,1
43,42,Directed,30,P3,,1
43,41,Directed,31,P32,,1
41,40,Directed,32,-P71,,1
43,39,Directed,33,P126,,1
39,38,Directed,34,-P71,,1
43,61,Directed,40,-P140,,1
60,59,Directed,36,J4,,1
59,58,Directed,37,-P71,,1
60,57,Directed,38,J5,,1
57,56,Directed,39,-P71,,1
61,60,Directed,41,P141,,1
61,62,Directed,42,P141,,1
62,63,Directed,43,-P71,,1
61,64,Directed,44,P141,,1
64,65,Directed,45,-P71,,1
64,66,Directed,46,-P127,,1
66,67,Directed,47,-P71,,1
0,69,Directed,48,P1,,1
61,70,Directed,49,P2,,1
