Id,Label,mergenode,businesstable
0,ARCHAEOLOGICAL_FIND.E19,ARCHAEOLOGICAL_FIND.E19,
1,FIND_ID.E42,ARCHAEOLOGICAL_FIND.E19,strings
2,INVESTIGATION_ACTIVITY.E7,ARCHAEOLOGICAL_FIND.E19,
3,ACTIVITY_TIME_SPAN.E52,INVESTIGATION_ACTIVITY.E7,
4,DATE_OF_ACTIVITY.E48,ACTIVITY_TIME_SPAN.E52,dates
5,ACTIVITY_TYPE.E55,INVESTIGATION_ACTIVITY.E7,domains
6,ACTIVITY_TYPE_AUTHORITY_DOCUMENT.E32,ACTIVITY_TYPE.E55,
7,INVESTIGATOR_ACTOR.E39,INVESTIGATION_ACTIVITY.E7,
8,INVESTIGATOR_ACTOR_NAME.E41,INVESTIGATOR_ACTOR.E39,strings
9,INVESTIGATOR_ROLE_TYPE.E55,INVESTIGATOR_ACTOR.E39,domains
10,INVESTIGATOR_ROLE_TYPE_AUTHORITY_DOCUMENT.E32,INVESTIGATOR_ROLE_TYPE.E55,
14,ADDRESS.E45,PLACE.E53,strings
13,PLACE.E53,ARCHAEOLOGICAL_FIND.E19,
15,ADDRESS_TYPE.E55,ADDRESS.E45,domains
16,ADDRESS_TYPE_AUTHORITY_DOCUMENT.E32,ADDRESS_TYPE.E55,
17,LOCATION_DESCRIPTION.E13,PLACE.E53,
18,LOCATION_FACILITY_DESCRIPTION_NAME.E62,LOCATION_DESCRIPTION.E13,strings
19,LOCATION_TYPE.E55,PLACE.E53,domains
20,LOCATION_TYPE_AUTHORITY_DOCUMENT.E32,LOCATION_TYPE.E55,
21,MEASUREMENTS.E16,ARCHAEOLOGICAL_FIND.E19,
22,MEASUREMENT_FIND_ID.E42,MEASUREMENTS.E16,strings
23,DIMENSION.E54,MEASUREMENTS.E16,
24,MEASUREMENT_UNIT.E58,DIMENSION.E54,domains
25,UNIT_AUTHORITY_DOCUMENT.E32,MEASUREMENT_UNIT.E58,
26,NUMBER.E60,DIMENSION.E54,numbers
27,DIMENSION_TYPE.E55,DIMENSION.E54,domains
28,DIMENSION_TYPE_AUTHORITY_DOCUMENT.E32,DIMENSION_TYPE.E55,
29,MEASUREMENT_SOURCE_TYPE.E55,MEASUREMENTS.E16,domains
30,MEASUREMENT_SOURCE_AUTHORITY_DOCUMENT.E32,MEASUREMENT_SOURCE_TYPE.E55,
67,FIND_DETAILED_CATEGORY_TYPE_AUTHORITY_DOCUMENT.E32,FIND_DETAILED_CATEGORY_TYPE.E55,
43,PRODUCTION.E12,ARCHAEOLOGICAL_FIND.E19,
42,FIND_NOTES.E62,PRODUCTION.E12,strings
41,TECHNIQUE_TYPE.E55,PRODUCTION.E12,domains
40,TECHNIQUE_TYPE_AUTHORITY_DOCUMENT.E32,TECHNIQUE_TYPE.E55,
39,MATERIAL.E57,PRODUCTION.E12,domains
38,MATERIAL_AUTHORITY_DOCUMENT.E32,MATERIAL.E57,
66,FIND_DETAILED_CATEGORY_TYPE.E55,TYPE_AND_DATE_ASSIGNMENT.E13,domains
65,FIND_SUB_CATEGORY_TYPE_AUTHORITY_DOCUMENT.E32,FIND_SUB_CATEGORY_TYPE.E55,
64,FIND_SUB_CATEGORY_TYPE.E55,TYPE_AND_DATE_ASSIGNMENT.E13,domains
63,FIND_CATEGORY_TYPE_AUTHORITY_DOCUMENT.E32,FIND_CATEGORY_TYPE.E55,
62,FIND_CATEGORY_TYPE.E55,TYPE_AND_DATE_ASSIGNMENT.E13,domains
61,TYPE_AND_DATE_ASSIGNMENT.E13,PRODUCTION.E12,
60,PERIOD_BELIEF.I2,PRODUCTION.E12,
59,PERIOD_TYPE.I4,PERIOD_BELIEF.I2,domains
58,PERIOD_TYPE_AUTHORITY_DOCUMENT.E32,PERIOD_TYPE.I4,
57,PERIOD_CERTAINTY_BELIEF_VALUE.I6,PERIOD_BELIEF.I2,domains
56,PERIOD_CERTAINTY_BELIEF_VALUE_AUTHORITY_DOCUMENT.E32,PERIOD_CERTAINTY_BELIEF_VALUE.I6,
69,EAMENA_ID.E42,ARCHAEOLOGICAL_FIND.E19,uniqueids
70,FIND_QUANTITY.E62,TYPE_AND_DATE_ASSIGNMENT.E13,strings
