Id,Label,mergenode,businesstable
150,HERITAGE_FEATURE.E24,HERITAGE_FEATURE.E24,
334,FORM_ASSIGNMENT.E13,HERITAGE_FEATURE.E24,
335,FORM_ASSIGNMENT_INVESTIGATOR.E39,FORM_ASSIGNMENT.E13,
336,FORM_ASSIGNMENT_INVESTIGATOR_NAME.E41,FORM_ASSIGNMENT.E13,strings
337,FORM_NUMBER.E55,FORM_ASSIGNMENT.E13,domains
338,FORM_NUMBER_AUTHORITY_DOCUMENT.E32,FORM_NUMBER.E55,
339,FORM_ARRANGEMENT.E55,FORM_ASSIGNMENT.E13,domains
340,FORM_ARRANGEMENT_AUTHORITY_DOCUMENT.E32,FORM_ARRANGEMENT.E55,
341,FORM_SHAPE_TYPE.E55,FORM_ASSIGNMENT.E13,domains
342,FORM_SHAPE_TYPE_AUTHORITY_DOCUMENT.E32,FORM_SHAPE_TYPE.E55,
343,FORM_BELIEF.I2,FORM_ASSIGNMENT.E13,
344,FORM_CERTAINTY_BELIEF_VALUE.I6,FORM_BELIEF.I2,domains
345,FORM_CERTAINTY_BELIEF_VALUE_AUTHORITY_DOCUMENT.E32,FORM_CERTAINTY_BELIEF_VALUE.I6,
346,FORM_TYPE_PROPOSITION_SET.I4,FORM_BELIEF.I2,domains
347,FORM_TYPE_PROPOSITION_SET_AUTHORITY_DOCUMENT.E32,FORM_TYPE_PROPOSITION_SET.I4,
