Source,Target,Type,Id,Label,timeset,Weight
11,1,Directed,35,P3,,1
9,2,Directed,28,P2,,1
22,5,Directed,84,-P71,,1
11,8,Directed,36,P1,,1
17,9,Directed,62,P1,,1
804,12,Directed,750,-P41,,1
2,15,Directed,5,-P71,,1
11,16,Directed,40,P2,,1
11,17,Directed,41,BM.PX.is_related_to,,1
16,19,Directed,59,-P71,,1
12,22,Directed,52,P42,,1
11,23,Directed,50,P3,,1
804,27,Directed,755,P14,,1
27,29,Directed,103,P131,,1
31,30,Directed,54,P2,,1
34,31,Directed,74,P87,,1
34,32,Directed,97,P89,,1
32,33,Directed,98,P3,,1
11,34,Directed,47,P67,,1
30,35,Directed,12,-P71,,1
11,37,Directed,273,-P108,,1
37,38,Directed,274,P4,,1
38,39,Directed,275,P78,,1
571,40,Directed,624,P2,,1
40,41,Directed,277,-P71,,1
804,42,Directed,756,P11,,1
42,43,Directed,279,P131,,1
37,44,Directed,280,P11,,1
44,45,Directed,281,P131,,1
11,46,Directed,196,P104,,1
46,47,Directed,197,P2,,1
47,48,Directed,198,-P71,,1
517,49,Directed,622,P2,,1
49,50,Directed,200,-P71,,1
11,51,Directed,250,P2,,1
51,52,Directed,251,-P71,,1
11,517,Directed,514,-P128,,1
11,571,Directed,623,P1,,1
11,792,Directed,737,-P138,,1
11,801,Directed,746,P67,,1
801,802,Directed,747,P4,,1
11,804,Directed,749,-P94,,1
804,805,Directed,751,P4,,1
805,806,Directed,752,P78,,1
804,807,Directed,753,-P134,,1
807,808,Directed,754,P78,,1
11,900,Directed,800,P78,,1
11,901,Directed,801,P1,,1
934,902,Directed,802,P131,,1
935,903,Directed,804,P131,,1
938,904,Directed,807,P87,,1
37,905,Directed,808,P1,,1
37,906,Directed,809,P1,,1
37,907,Directed,810,P1,,1
37,908,Directed,811,P1,,1
11,909,Directed,812,P1,,1
940,910,Directed,813,P1,,1
910,911,Directed,814,-P71,,1
936,912,Directed,815,P42,,1
912,913,Directed,816,-P71,,1
936,914,Directed,817,P42,,1
914,915,Directed,818,-P71,,1
936,916,Directed,819,P42,,1
916,917,Directed,820,-P71,,1
936,918,Directed,821,P42,,1
918,919,Directed,822,-P71,,1
936,920,Directed,823,P42,,1
920,921,Directed,824,-P71,,1
940,922,Directed,825,P42,,1
922,923,Directed,826,-P71,,1
939,924,Directed,827,P78,,1
940,925,Directed,830,P42,,1
804,926,Directed,832,P14,,1
926,927,Directed,831,-P71,,1
940,928,Directed,834,P42,,1
928,929,Directed,833,-P71,,1
940,956,Directed,856,P1,,1
930,931,Directed,835,-P71,,1
940,932,Directed,838,P42,,1
940,955,Directed,855,P1,,1
37,934,Directed,803,P11,,1
37,935,Directed,805,P11,,1
11,936,Directed,840,-P94,,1
925,937,Directed,829,-P71,,1
37,938,Directed,806,P67,,1
804,939,Directed,828,P4,,1
37,940,Directed,839,-P41,,1
37,941,Directed,841,P4,,1
941,942,Directed,842,P78,,1
27,943,Directed,843,P131,,1
940,944,Directed,844,P1,,1
938,945,Directed,845,P87,,1
27,946,Directed,846,P131,,1
944,947,Directed,847,-P71,,1
949,948,Directed,849,P78,,1
804,949,Directed,848,-P134,,1
951,950,Directed,850,P131,,1
804,951,Directed,851,P14,,1
953,952,Directed,852,P78,,1
37,953,Directed,853,P4,,1
940,930,Directed,854,P41,,1
11,957,Directed,857,P1,,1
11,958,Directed,858,P1,,1
958,959,Directed,859,P78,,1
951,960,Directed,860,P131,,1
